slug	title	summary	url	format	tool_slugs	provider	provider_type	publication_date	experience_level	workshop	topics	curation_status	notes
gnps-redu-2020	GNPS ReDU	Workshop introducing ReDU for metadata-driven discovery and reuse of public tandem-MS datasets.	https://www.youtube.com/watch?v=I-CdsHESLJ8	workshop_recording	redu;gnps	GNPS	developer	2020-05-06	introductory	GNPS online workshop series	ReDU;metadata;public data;reanalysis	strong	Official GNPS workshop.
gnps-ion-identity-networking-2020	GNPS Ion-Identity Networking, Native Metabolomics	Workshop on ion-identity networking and its use alongside molecular networking.	https://www.youtube.com/watch?v=tb7LxaeNvcw	workshop_recording	gnps-feature-based-molecular-networking;mzmine	GNPS	developer	2020-05-20	intermediate	GNPS online workshop series	ion identity networking;MZmine;GNPS	strong	Tool linkage may later use a dedicated IIN entry if Navigator adds one.
gnps-ms2lda-2020	GNPS - MS2LDA	GNPS workshop covering MS2LDA and motif-based discovery in tandem mass spectrometry data.	https://www.youtube.com/watch?v=0wKUmjPy40s	workshop_recording	ms2lda;gnps	GNPS	developer	2020-06-24	intermediate	GNPS online workshop series	MS2LDA;motifs;substructure discovery	strong	Official GNPS workshop.
gnps-dashboard-overview-2021	GNPS Dashboard - Overview	Workshop overview of GNPS Dashboard for interactive exploration and visualization of LC-MS/MS data.	https://www.youtube.com/watch?v=S3aAkGTMC-g	workshop_recording	gnps-dashboard;gnps	GNPS	developer	2021-05-12	introductory	GNPS online workshop series	dashboard;visualization;LC-MS/MS	strong	Official GNPS workshops page.
gnps-molecular-networking-cmfi-2022	CMFI Mass Spec Seminar - Molecular Networking	Seminar on molecular networking presented by Pieter Dorrestein and Daniel Petras.	https://youtu.be/s5y1XNKENbk	workshop_recording	gnps;gnps-classical-molecular-networking	Functional Metabolomics Lab / GNPS	workshop	2022-02-15	introductory	CMFI Mass Spec Seminar	molecular networking;GNPS	strong	Useful bridge between fundamentals and practical GNPS use.
metaboanalyst-2023-workshop-part1	2023-W8: Part 1 Using MetaboAnalyst 5.0 for High-Throughput LC-MS and Tandem MS Spectral Processing	Workshop led by Jeff Xia covering LC-MS/MS processing, annotation, functional enrichment and multi-omics capabilities in MetaboAnalyst 5.0.	https://www.youtube.com/watch?v=FHvsbf4vNt8	workshop_recording	metaboanalyst	Metabolomics Society	workshop	2026-05-22	intermediate	Metabolomics Society workshop archive	MetaboAnalyst;LC-MS;MS/MS;annotation;enrichment	strong	Video was uploaded in 2026 but represents a 2023 workshop; preserve both dates in final metadata.
embl-ebi-xcms-metfrag-2018	LC/MS data analysis with XCMS and MetFrag	EMBL-EBI webinar demonstrating LC-MS preprocessing with XCMS and compound annotation with MetFrag in Galaxy/PhenoMeNal.	https://www.youtube.com/watch?v=LpUd_-9owdc	workshop_recording	xcms;metfrag	EMBL-EBI Training	training_program	2018-06-14	introductory	Metabolomics data analysis in the Cloud training series	XCMS;MetFrag;LC-MS;annotation;Galaxy	legacy	Older software interfaces, but excellent workflow-oriented teaching. Label legacy/currentness clearly.
msdial5-lcms-dda	MS-DIAL 5 LC-MS/MS DDA tutorial	Official MS-DIAL 5 video walkthrough for an LC-MS/MS data-dependent acquisition project.	https://www.youtube.com/watch?v=cZY7wqF5Wdo	software_walkthrough	ms-dial	MS-DIAL project	developer		introductory	MS-DIAL 5 official tutorial	MS-DIAL;LC-MS/MS;DDA;preprocessing	strong	Video is embedded in the current official MS-DIAL 5 tutorial.
msdial5-massql-filtering	MassQL in MS-DIAL 5	Official walkthrough showing MassQL-based peak filtering inside MS-DIAL 5.	https://www.youtube.com/watch?v=otCq9s1PjAs	software_walkthrough	ms-dial;massql	MS-DIAL project	developer		intermediate	MS-DIAL 5 official tutorial	MS-DIAL;MassQL;filtering	strong	Excellent integration-focused education example.
msdial5-msfinder-bridge	MS-DIAL 5 to MS-FINDER for unknown annotation	Official walkthrough linking MS-DIAL output to MS-FINDER for formula prediction, fragment annotation and structure elucidation.	https://www.youtube.com/watch?v=moHIiTTVfGQ	software_walkthrough	ms-dial;ms-finder	MS-DIAL project	developer		intermediate	MS-DIAL 5 official tutorial	MS-DIAL;MS-FINDER;annotation;unknowns	strong	Good example of teaching a tool boundary rather than a single tool.
msdial5-multivariate-analysis	Multivariate analysis in MS-DIAL 5	Official video walkthrough for multivariate analysis functionality within MS-DIAL 5.	https://www.youtube.com/watch?v=wtOS7F1RgZs	software_walkthrough	ms-dial	MS-DIAL project	developer		introductory	MS-DIAL 5 official tutorial	MS-DIAL;PCA;multivariate statistics	strong	Current official tutorial source.
