source_row	name	source_category	source_subcategory	tool_url	publication_url	year	programming_language	proposed_primary_function	proposed_platforms	proposed_analysis_types	proposed_interfaces	proposed_resource_type	flags
76	KGMN	Metabolic networks		https://github.com/ZhuMetLab/MetDNA2, https://github.com/ZhuMetLab/MetDNA2InSilicoTool , https://github.com/ZhuMetLab/MetDNA2Vis	https://www.nature.com/articles/s41467-022-34537-6	2022	R	pathway_interpretation	lc_ms	untargeted	r_package	programming_package	
97	MetaboSeek	Organism specific		https://github.com/mjhelf/Metaboseek	https://www.nature.com/articles/s41467-022-28391-9	2022	R, HTML	pathway_interpretation	platform_independent	untargeted	r_package	database_knowledgebase	
108	MODAPro	Specialized		https://github.com/zhaoxiaoqi0714/MODAPro	https://pubs.acs.org/doi/full/10.1021/acs.analchem.5c03611	2025	HTML, Python	pathway_interpretation	platform_independent	multiomics	python_package	programming_package	broad_source_bucket_manual_review
109	MS2MP	Pathway, Enrichment and Ontology Tools		https://github.com/ucasaccn/MS2MP	https://pubs.acs.org/doi/10.1021/acs.analchem.4c06875	2025	Not specified	pathway_interpretation	platform_independent	untargeted	command_line	software_application	
120	ATLASx	Specialized		https://lcsb-databases.epfl.ch/Atlas2	https://www.nature.com/articles/s41467-022-29238-z	2022	Webserver, Python	pathway_interpretation	platform_independent		web_app;python_package	database_knowledgebase	broad_source_bucket_manual_review
122	Rodin	Multifunctional		https://github.com/BM-Boris/rodin, https://rodin-meta.com/	https://academic.oup.com/bioinformaticsadvances/article/5/1/vbaf088/8111568	2025	Python, Webserver	pathway_interpretation	platform_independent		web_app;python_package	workflow_pipeline	broad_source_bucket_manual_review
139	MetaProViz	Multifunctional		https://saezlab.github.io/MetaProViz/	https://www.biorxiv.org/content/10.1101/2025.08.18.670781v1.	2025	R	pathway_interpretation	platform_independent	lipidomics	r_package	database_knowledgebase	broad_source_bucket_manual_review
147	S2IsoMEr	Imaging MS		https://github.com/alexandrovteam/S2IsoMEr	https://academic.oup.com/bioinformaticsadvances/article/5/1/vbaf100/8139932	2025	R	pathway_interpretation	imaging_ms	spatial_metabolomics	r_package	programming_package	
158	ChromaQuant	Drug Discovery		https://hplcfdu.shinyapps.io/ChromaQuant/	https://pubs.acs.org/doi/full/10.1021/acs.analchem.5c02702	2025	R	pathway_interpretation	lc_ms		web_app;r_package	workflow_pipeline	broad_source_bucket_manual_review;scope_review_adjacent_field
164	MetaBench	Benchmark/Dataset		https://github.com/metabench/metabench	https://arxiv.org/abs/2510.14944	2025	Python	pathway_interpretation	platform_independent		python_package	data_repository	
180	LipidCruncher	Lipidomics		https://lipidcruncher.org/, https://github.com/FareseWaltherLab/LipidCruncher	https://www.biorxiv.org/content/10.1101/2025.04.28.650893v1	2025	Python, Webserver	pathway_interpretation	platform_independent	lipidomics	web_app;python_package	workflow_pipeline	
191	PeanutOmics	Organism specific		https://cgm.sjtu.edu.cn/PeanutOmics/	https://www.cell.com/plant-communications/S2590-3462(25)00384-0	2025	Webserver	pathway_interpretation	platform_independent	multiomics	web_app	database_knowledgebase	
192	MetMiner, MDAtoolkits	Multifunctional		https://github.com/ShawnWx2019/MetMiner	https://onlinelibrary.wiley.com/doi/full/10.1111/jipb.13774	2024	R	pathway_interpretation	platform_independent		r_package	database_knowledgebase	broad_source_bucket_manual_review
193	Lipidepifind	Lipidomics		https://github.com/Xinguang-Liu/Lipidepifind	https://pubs.acs.org/doi/abs/10.1021/acs.analchem.5c00277	2025	R	pathway_interpretation	lc_ms	lipidomics	r_package	database_knowledgebase	
207	IDSL.GOA	Pathway, Enrichment and Ontology Tools		https://goa.idsl.me/	https://www.nature.com/articles/s41598-024-51992-x	2024	JavaScript, Webserver	pathway_interpretation	platform_independent	exposomics	web_app	database_knowledgebase	
210	ORA	Pathway, Enrichment and Ontology Tools		https://github.com/cwieder/metabolomics-ORA	https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1009105	2021	Python	pathway_interpretation	platform_independent		python_package	database_knowledgebase	
216	Kiphynet	Metabolic networks		http://pallab.cds.iisc.ac.in/kiphynet//	https://link.springer.com/article/10.1007/s11306-024-02151-w	2024	Python, MATLAB	pathway_interpretation	platform_independent	multiomics	python_package;matlab	programming_package	
221	Viime-Path	Pathway, Enrichment and Ontology Tools		https://github.com/girder/viime-path	https://www.biorxiv.org/content/10.1101/2023.03.07.531550v1	2023	Vue, Shell	pathway_interpretation	platform_independent		command_line	database_knowledgebase	
224	FORUM	Specialized		https://github.com/eMetaboHUB/Forum-DiseasesChem	https://academic.oup.com/bioinformatics/article/37/21/3896/6363786	2021	Python, Shell, R	pathway_interpretation	platform_independent		python_package;r_package	programming_package	broad_source_bucket_manual_review
230	GINv2.0	Pathway, Enrichment and Ontology Tools		https://github.com/BIGchix/GINv2.0	https://www.nature.com/articles/s41540-024-00330-y	2024	Not specified	pathway_interpretation	platform_independent		command_line	software_application	
242	MetChem	Pathway, Enrichment and Ontology Tools		https://CRAN.R-project.org/package=MetChem	https://academic.oup.com/bioinformaticsadvances/article/3/1/vbad053/7135819	2023	R	pathway_interpretation	platform_independent		r_package	programming_package	
244	MetaboliticsDB	Metabolic networks		https://github.com/alperdokay/metabolitics-frontend	https://ieeexplore.ieee.org/abstract/document/10974632/authors#authors	2025	TypeScript, HTML, CSS	pathway_interpretation	platform_independent		command_line	database_knowledgebase	
251	HCMMD	Specialized		NA	https://www.aging-us.com/full/205779	2024	NA	pathway_interpretation	platform_independent			database_knowledgebase	broad_source_bucket_manual_review
253	LipiDisease	Lipidomics		http://cbdm-01.zdv.uni-mainz.de:3838/piyusmor/LipiDisease/	https://academic.oup.com/bioinformatics/advance-article/doi/10.1093/bioinformatics/btab559/6343440	2021	Webserver, R, JavaScript	pathway_interpretation	platform_independent	lipidomics	web_app;r_package	database_knowledgebase	
256	BioPKS Pipeline, RetroTide	Specialized		https://github.com/JBEI/BioPKS-Pipeline, https://github.com/JBEI/RetroTide	https://www.biorxiv.org/content/10.1101/2024.11.04.621673v2	2025	Python	pathway_interpretation	platform_independent		python_package	workflow_pipeline	broad_source_bucket_manual_review
277	MInfer	Metabolic networks		https://github.com/cellbiomaths/MInfer	https://www.sciencedirect.com/science/article/pii/S0169260725000896	2025	R	pathway_interpretation	platform_independent		r_package	programming_package	
314	MSIannotator	Imaging MS		https://github.com/Yingzhu96/MSIannotator	https://pubs.acs.org/doi/10.1021/acs.analchem.2c00557	2022	MATLAB	pathway_interpretation	imaging_ms;lc_ms		matlab	database_knowledgebase	
319	TidyMass2	Multifunctional		https://github.com/tidymass/tidymass	https://www.biorxiv.org/content/10.1101/2025.05.09.652992v1	2025	HTML, R	pathway_interpretation	lc_ms	untargeted	r_package	programming_package	broad_source_bucket_manual_review
339	Pickaxe	Specialized		https://github.com/tyo-nu/MINE-Database	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-023-05149-8	2023	Python	pathway_interpretation	platform_independent	untargeted	python_package	database_knowledgebase	broad_source_bucket_manual_review
359	ExposomeX	Exposomics		http://www.exposomex.cn/	https://www.biorxiv.org/content/10.1101/2022.11.23.517586v1	2022	Webserver	pathway_interpretation	platform_independent	exposomics;multiomics	web_app	database_knowledgebase	
410	Multi‑MSI Processor	Imaging MS		https://github.com/multimsiproc/MMP	https://pubs.acs.org/doi/full/10.1021/acs.analchem.3c04192	2023	Python	pathway_interpretation	imaging_ms;maldi_ms	spatial_metabolomics	python_package	workflow_pipeline	
419	massDatabase	Pathway, Enrichment and Ontology Tools		https://massdatabase.tidymass.org/	https://academic.oup.com/bioinformatics/article/38/19/4650/6659093	2022	R	pathway_interpretation	lc_ms		r_package	programming_package	
432	LINEX2⁠	Lipidomics		https://gitlab.lrz.de/lipitum-projects/linex	https://academic.oup.com/bib/advance-article/doi/10.1093/bib/bbac572/6966533	2023	Python, HTML, JavaScript, CSS	pathway_interpretation	platform_independent	lipidomics	python_package	programming_package	
439	MIMOSA2	Pathway, Enrichment and Ontology Tools		http://elbo-spice.cs.tau.ac.il/shiny/MIMOSA2shiny/ , http://www.borensteinlab.com/software_MIMOSA2.html	https://academic.oup.com/bioinformatics/article/38/6/1615/6499258	2022	R, Webserver	pathway_interpretation	platform_independent		web_app;r_package	web_service	
447	MCnebula	Patterns		https://mcnebula.org/	https://pubs.acs.org/doi/10.1021/acs.analchem.3c01072	2023	R	pathway_interpretation	lc_ms	untargeted	r_package	programming_package	broad_source_bucket_manual_review
449	LipidSuite	Lipidomics		https://suite.lipidr.org/	https://academic.oup.com/nar/article/49/W1/W346/6266419	2021	Webserver, R	pathway_interpretation	platform_independent	lipidomics;untargeted	web_app;r_package	workflow_pipeline	
471	DIMPLE	Imaging MS		https://github.com/dickinsonlab/DIMPLE-code	https://www.biorxiv.org/content/10.1101/2025.09.22.677919v1	2025	Mathematica, MATLAB	pathway_interpretation	imaging_ms		matlab	workflow_pipeline	
473	MiNEApy	Pathway, Enrichment and Ontology Tools		https://github.com/vpandey-om/mineapy	https://academic.oup.com/bioinformatics/article/41/3/btaf077/8030213	2025	Python	pathway_interpretation	platform_independent		python_package	programming_package	
504	PathBank 2.0	Pathway, Enrichment and Ontology Tools		https://pathbank.org/	https://academic.oup.com/nar/article/52/D1/D654/7420099	2023	Webserver	pathway_interpretation	platform_independent		web_app	database_knowledgebase	
508	ChemFOnt	Pathway, Enrichment and Ontology Tools		https://www.chemfont.ca/	https://academic.oup.com/nar/article/51/D1/D1220/6777791	2024	Webserver	pathway_interpretation	platform_independent	exposomics	web_app	database_knowledgebase	
513	M2R	Metabolic networks		https://github.com/e-weglarz-tomczak/m2r	https://academic.oup.com/bioinformatics/advance-article/doi/10.1093/bioinformatics/btab060/6125380	2021	Python	pathway_interpretation	platform_independent		python_package	programming_package	
516	MetaboDirect	FT-ICR MS		https://github.com/Coayala/MetaboDirect	https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-023-01476-3	2023	R, Python	pathway_interpretation	direct_infusion_ms		python_package;r_package	workflow_pipeline	ft_icr_platform_dimension
535	MINNO	Metabolic networks		https://lewisresearchgroup.github.io/MINNO/	https://pubs.acs.org/doi/10.1021/acs.analchem.3c04501	2024	JavaScript, Webserver	pathway_interpretation	platform_independent		web_app	database_knowledgebase	
542	secCellFie	Pathway, Enrichment and Ontology Tools		https://github.com/LewisLabUCSD/secCellFie	https://www.sciencedirect.com/science/article/pii/S1096717623001799	2024	Python, HTML	pathway_interpretation	platform_independent		python_package	programming_package	
557	FoodAtlas	Organism specific		https://github.com/IBPA/FoodAtlas , http://foodatlas.ai	https://www.sciencedirect.com/science/article/pii/S0010482524011570	2024	Python, Shell	pathway_interpretation	platform_independent		python_package	database_knowledgebase	
567	IonFlow	Specialized		https://github.com/wanchanglin/ionflow	https://link.springer.com/article/10.1007/s11306-021-01841-z	2021	R	pathway_interpretation	platform_independent		r_package	workflow_pipeline	broad_source_bucket_manual_review;scope_review_adjacent_field
573	PaIRKAT	Organism specific		https://github.com/CharlieCarpenter/PaIRKAT	https://www.biorxiv.org/content/10.1101/2021.04.23.440821v1	2021	R	pathway_interpretation	platform_independent		r_package	database_knowledgebase	
585	DNEA	Metabolic networks		https://github.com/Karnovsky-Lab/DNEA/	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-024-05994-1	2024	R, TeX	pathway_interpretation	platform_independent	untargeted	r_package	workflow_pipeline	
590	MicroMap	Metabolic networks/Visualization		https://dataverse.harvard.edu/dataverse/micromap	https://www.nature.com/articles/s41522-025-00853-0	2025	Webserver	pathway_interpretation	platform_independent		web_app	database_knowledgebase	
596	PALS	Pathway, Enrichment and Ontology Tools		https://github.com/glasgowcompbio/PALS; https://pals.glasgowcompbio.org/app/	https://www.mdpi.com/2218-1989/11/2/103	2021	Python, Webserver	pathway_interpretation	platform_independent	untargeted	web_app;python_package	web_service	
600	Thermo-Flux	Metabolic networks		https://github.com/molecular-systems-biology/thermo-flux	https://www.biorxiv.org/content/10.1101/2025.11.20.689566v1	2025	Python	pathway_interpretation	platform_independent		python_package	database_knowledgebase	
612	Lipid Wizard	Lipidomics		https://github.com/RaoboXu/Lipidwizard	https://pubs.acs.org/doi/abs/10.1021/acs.analchem.3c04419	2024	Python	pathway_interpretation	lc_ms	lipidomics	python_package	database_knowledgebase	
620	Lilikoi V2.0	Pathway, Enrichment and Ontology Tools		https://github.com/lanagarmire/lilikoi2	https://academic.oup.com/gigascience/article/10/1/giaa162/6114871	2021	R, Python	pathway_interpretation	platform_independent		python_package;r_package	programming_package	
622	Recon8D	Metabolic networks		https://github.com/sriram-lab/Recon8D	https://www.biorxiv.org/content/10.1101/2024.08.17.608400v2	2024	Python	pathway_interpretation	platform_independent	spatial_metabolomics	python_package	programming_package	
631	SBGNview	Pathway, Enrichment and Ontology Tools		https://github.com/datapplab/SBGNview	https://academic.oup.com/bioinformatics/article/38/5/1473/6433671	2021	R, TeX	pathway_interpretation	platform_independent		r_package	workflow_pipeline	
641	LipidOne 2.0	Lipidomics		https://lipidone.eu	https://currentprotocols.onlinelibrary.wiley.com/doi/10.1002/cpz1.70009	2024	Webserver	pathway_interpretation	platform_independent	lipidomics	web_app	web_service	
653	metGWAS 1.0	Pathway, Enrichment and Ontology Tools		https://github.com/saifurbd28/metGWAS-1.0	https://academic.oup.com/bioinformatics/advance-article/doi/10.1093/bioinformatics/btad523/7248906	2023	R, TeX	pathway_interpretation	platform_independent		r_package	database_knowledgebase	
665	Metaboverse	Specialized		https://github.com/Metaboverse/Metaboverse	https://www.nature.com/articles/s41556-023-01117-9	2023	JavaScript, Python, CSS, HTML	pathway_interpretation	platform_independent	multiomics	python_package	programming_package	broad_source_bucket_manual_review
666	EnrichMET	Pathway, Enrichment and Ontology Tools		https://github.com/biodatalab/enrichmet	https://www.biorxiv.org/content/10.1101/2025.08.28.672951v2	2025	R	pathway_interpretation	platform_independent		r_package	programming_package	
673	COVRECON	Specialized		https://bitbucket.org/mosys-univie/covrecon	https://www.biorxiv.org/content/10.1101/2024.08.27.609825v1	2024	MATLAB	pathway_interpretation	platform_independent		matlab	software_application	broad_source_bucket_manual_review
676	iMSEA	Pathway, Enrichment and Ontology Tools		https://github.com/BioNet-XMU/iMSEA	https://pubs.acs.org/doi/10.1021/acs.analchem.2c04603	2023	MATLAB	pathway_interpretation	platform_independent		matlab	database_knowledgebase	
719	MDRB	Exposomics		https://github.com/933ZhangDD/MDRB	https://cmjournal.biomedcentral.com/articles/10.1186/s13020-024-01031-8	2024	R	pathway_interpretation	platform_independent	exposomics;untargeted	r_package	programming_package	
737	SmilODB	Organism specific		http://www.isage.top:56789	https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2025.1586268	2025	Webserver	pathway_interpretation	platform_independent	multiomics	web_app	database_knowledgebase	
738	LargeMetabo	Large scale		https://github.com/LargeMetabo/LargeMetabo	https://academic.oup.com/bib/article-abstract/23/6/bbac455/6768054	2022	R	pathway_interpretation	platform_independent	untargeted	r_package	database_knowledgebase	broad_source_bucket_manual_review
